Problem,Dim,BrentSTEPqi_Posik,BrentSTEPrr_Posik,CMA-CSA_Atamna,HCMA_loshchilov_noiseless,HMLSL_pal_noiseless,IPOP400D_auger_noiseless,MCS_huyer_noiseless,M_LSL_pal_noiseless,OQNLP_pal_noiseless,SMAC-BBOB_hutter_noiseless,fmincon_pal_noiseless,fminunc_pal_noiseless
f1,2,1.7666666666666666,1.7666666666666666,13.666666666666666,1.0,1.8666666666666665,11.533333333333333,2.6,1.8666666666666665,3.0666666666666664,2.4,1.8666666666666665,1.1666666666666667
f1,3,2.1,2.1,20.075,1.0,1.925,16.525,2.375,1.925,2.875,3.45,1.925,1.125
f1,5,2.35,2.35,21.116666666666667,1.0,2.183333333333333,20.716666666666665,2.6333333333333333,2.183333333333333,2.5166666666666666,3.3000000000000003,2.183333333333333,1.0833333333333333
f1,10,2.428571428571429,2.428571428571429,26.696428571428573,1.0,2.205357142857143,22.589285714285715,2.232142857142857,2.205357142857143,1.973214285714286,6.544642857142858,2.205357142857143,1.0267857142857144
f2,2,1.0,1.2524271844660193,17.21359223300971,9.233009708737862,1.9514563106796117,22.310679611650485,3.1553398058252426,1.9514563106796117,2.4757281553398056,36690.3,1.9514563106796117,4.475728155339806
f2,3,1.0,1.2056737588652482,20.900709219858157,6.950354609929078,2.638297872340426,28.02836879432624,5.76595744680851,2.638297872340426,3.106382978723404,36690.3,2.638297872340426,6.361702127659575
f2,5,1.0,1.407563025210084,26.470588235294116,3.8403361344537816,3.7899159663865545,35.214285714285715,6.088235294117647,3.7899159663865545,4.243697478991597,36690.3,3.26890756302521,11.239495798319327
f2,10,1.0,1.4733475479744136,38.362473347547976,3.727078891257996,7.2409381663113015,81.42857142857143,15.388059701492539,7.2409381663113015,6.021321961620469,36690.3,7.093816631130064,27.2409381663113
f3,2,1.0,1.0719602977667495,45.36724565756824,2.741935483870968,8.826302729528535,23.145161290322584,8.635235732009926,26.88089330024814,13.468982630272953,36690.3,28.208436724565757,26.20099255583127
f3,3,1.043609022556391,1.0,100.66015037593985,5.05563909774436,11.548872180451127,36690.3,76.7578947368421,159.81954887218046,38.443609022556394,36690.3,183.9436090225564,519.7518796992481
f3,5,1.0661559888579388,1.0,923.8022284122563,1.6392757660167132,20.11908077994429,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
f3,10,1.026743075453677,1.0,36690.3,2.0312002546959564,118.00647352223284,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
f4,2,1.0,1.0364372469635628,192.2591093117409,4.101214574898785,56.73481781376518,29.80769230769231,13.73684210526316,42.91902834008097,61.96356275303644,36690.3,19.356275303643727,24.34412955465587
f4,3,1.1475409836065573,1.0,36690.3,1765.8674863387978,13.683970856102004,36690.3,143.64754098360658,110.49635701275047,36690.3,36690.3,233.13296903460838,130.2504553734062
f4,5,1.0723981900452488,1.0,36690.3,51.82435211846977,55.78774167009461,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
f4,10,1.2232627832927516,1.0,36690.3,4.014422176437535,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
f5,2,1.3181818181818181,1.3181818181818181,5.545454545454545,1.4545454545454546,3.8636363636363633,5.0,1.0,3.8636363636363633,4.090909090909091,1.1818181818181817,3.8636363636363633,2.954545454545454
f5,3,1.3939393939393938,1.3939393939393938,7.424242424242425,1.6060606060606062,4.3939393939393945,7.757575757575759,1.0,4.3939393939393945,3.0303030303030303,1.2121212121212122,4.3939393939393945,3.181818181818182
f5,5,1.4583333333333335,1.4583333333333335,6.062500000000001,1.625,5.729166666666667,6.854166666666667,1.0416666666666667,5.729166666666667,2.5,1.0,5.729166666666667,3.229166666666667
f5,10,2.2968749999999996,2.2968749999999996,9.0625,2.9375,9.53125,9.515625,1.5781249999999998,9.53125,2.65625,1.0,9.53125,4.375
f6,2,177.94780545670224,275.0830367734282,4.854092526690391,5.999999999999999,1.0,3.807829181494662,40.455516014234874,1.0,1.686832740213523,36690.3,1.0,2.0035587188612096
f6,3,202.82996894409936,579.8136645962733,2.576086956521739,4.211180124223602,1.062111801242236,3.0931677018633534,103.72864906832297,1.062111801242236,2.3260869565217392,36690.3,1.0,2.1071428571428568
f6,5,318.5434894493052,36690.3,1.9300051466803911,2.2784354091610908,1.0,2.051466803911477,44.812789500772,1.0,1.7400926402470407,36690.3,1.1605764282038085,2.979413278435409
f6,10,36690.3,36690.3,1.2120005139406398,1.8208916870101506,1.0,1.2267763073365026,58.12797121932417,1.0,3.1519979442374404,36690.3,1.1084414750096365,2.3863548760118207
f7,2,36690.3,36690.3,1.0,1.1614973262032084,3.037433155080214,1.9336898395721926,2.263101604278075,93.26381461675578,1.7850267379679146,3.4759358288770055,70.9614973262032,72.0855614973262
f7,3,265.0902737332557,282.2888759464182,1.0,1.0337798485730927,4.464181712288876,1.470005824111823,5.649388468258591,36690.3,5.346534653465347,36690.3,150.96097845078626,36690.3
f7,5,36690.3,36690.3,1.0,1.2735042735042734,5.937179487179487,1.4895299145299146,67.375,36690.3,36690.3,36690.3,36690.3,36690.3
f7,10,36690.3,36690.3,1.2075044069503902,1.0,12.691954167715942,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
f8,2,508.3549783549783,389.76190476190476,12.160173160173159,8.29004329004329,1.5974025974025972,7.9264069264069255,1.0,1.5974025974025972,1.5151515151515151,36690.3,1.5974025974025972,1.4112554112554112
f8,3,279.8004987531172,557.0635910224439,7.394014962593516,5.112219451371571,1.0,12.069825436408976,13.887780548628427,1.0,1.4089775561097255,36690.3,1.0,1.4488778054862843
f8,5,36690.3,36690.3,5.733168622606548,2.3656578134651016,1.5497220506485485,4.578752316244595,1.1964175416924026,1.2032118591723286,1.0166769610870907,36690.3,1.239654107473749,1.0
f8,10,36690.3,184.47184466019417,4.356893203883495,1.7363106796116505,1.5036893203883495,6.598381877022653,1.517864077669903,1.1161165048543689,1.0,36690.3,1.1085436893203884,1.2996116504854367
f9,2,36690.3,1477.7575757575758,11.424242424242424,7.757575757575758,1.0,9.163636363636362,1.3272727272727272,1.0,1.1393939393939394,36690.3,1.0,1.2666666666666666
f9,3,577.0103857566766,36690.3,7.955489614243324,7.474777448071216,1.0682492581602372,9.495548961424332,2.359050445103857,1.0682492581602372,1.056379821958457,36690.3,1.0682492581602372,1.0
f9,5,36690.3,36690.3,13.81831610044313,9.676514032496307,1.137370753323486,11.50516986706056,1.9453471196454946,1.137370753323486,1.0827178729689808,36690.3,1.137370753323486,1.0
f9,10,36690.3,36690.3,10.428715365239293,4.064987405541562,1.201007556675063,29.564231738035264,2.50176322418136,1.201007556675063,1.0493702770780857,36690.3,1.1944584382871537,1.0
f10,2,36690.3,515.034965034965,12.685314685314685,6.769230769230768,1.0,16.2027972027972,381.3216783216783,1.0,4.524475524475524,36690.3,1.0,3.6433566433566433
f10,3,36690.3,36690.3,10.138047138047138,5.148148148148149,1.0,13.676767676767676,36690.3,1.0,10.72053872053872,36690.3,1.0,3.28956228956229
f10,5,36690.3,36690.3,9.874592833876221,4.0667752442996745,1.0521172638436482,14.040716612377851,36690.3,1.0521172638436482,5.239413680781759,36690.3,1.0,6.679153094462541
f10,10,36690.3,36690.3,7.558070025619129,1.7877882152006832,1.0,36690.3,36690.3,1.0,13.125106746370625,36690.3,1.195132365499573,8.692997438087106
f11,2,295.036496350365,149.23357664233578,12.795620437956206,7.583941605839417,1.0,19.547445255474454,621.3138686131388,1.0,13.226277372262773,36690.3,1.0,2.7080291970802923
f11,3,36690.3,36690.3,18.021505376344084,7.456989247311827,1.0,23.51075268817204,3669.0322580645156,1.0,18.161290322580644,36690.3,1.0,13.284946236559138
f11,5,36690.3,36690.3,17.513422818791945,7.496644295302014,1.0,30.013422818791945,36690.3,1.0,38.20469798657718,36690.3,1.0402684563758389,49.06375838926174
f11,10,36690.3,36690.3,14.091015169194865,4.9708284714119015,1.0,33.4816219369895,36690.3,1.0,29.364060676779463,36690.3,1.0105017502917153,64.13535589264878
f12,2,153.6295871559633,40.57721712538226,5.885321100917431,8.197247706422017,1.0,4.873853211009174,28.05963302752294,1.0,2.3256880733944953,36690.3,1.0,1.4908256880733946
f12,3,36690.3,46.82504440497336,6.798401420959148,4.129662522202487,1.0115452930728241,10.627590290112494,2.2140319715808174,1.0115452930728241,13.99644760213144,36690.3,1.0,1.372113676731794
f12,5,65.24891101431238,36690.3,7.1729931549471075,2.2115743621655257,1.0143123833229621,10.88778261771417,20.84380833851898,1.0143123833229621,3.662725575606721,36690.3,1.0510267579340387,1.0
f12,10,36690.3,36690.3,7.919928427644821,1.279803176023261,1.3545068217401028,23.40080518899575,18.72131514202639,1.3545068217401028,13.644822187430105,36690.3,1.3618877208678146,1.0
f13,2,1091.6028708133972,36690.3,6.588516746411483,4.473684210526316,1.0,9.15311004784689,580.9968102073366,1.0,2.971291866028708,36690.3,1.0,304.0909090909091
f13,3,36690.3,109.23847695390782,5.573146292585171,3.304609218436874,1.0,7.679358717434869,292.4515698062792,1.0,2.5110220440881763,36690.3,1.0,1.284569138276553
f13,5,36690.3,36690.3,4.344235486508585,1.7882256745707277,1.0024529844644317,6.863450531479967,36690.3,1.0024529844644317,5.233851185609158,36690.3,1.0,1.250204415372036
f13,10,36690.3,36690.3,7.23377703826955,1.0127565169162507,1.0,10.18533924939915,36690.3,1.0,2.778147531891292,36690.3,1.0171935662784248,1.3496949528563504
f14,2,15.345132743362832,12.513274336283185,3.734513274336283,4.4159292035398225,1.0,3.769911504424779,1.7876106194690264,1.0,1.4690265486725664,4.849557522123893,1.0,1.3982300884955752
f14,3,20.193370165745854,23.69060773480663,4.138121546961326,4.8397790055248615,1.0,6.077348066298342,9.408839779005525,1.0,1.3535911602209945,5.889502762430938,1.0,1.1104972375690607
f14,5,27.833935018050543,40.13357400722022,5.675090252707581,5.487364620938628,1.0,6.238267148014441,4.025270758122744,1.0,1.3971119133574008,36690.3,1.0,1.5342960288808665
f14,10,34.9700272479564,37.53133514986376,5.295640326975477,4.727520435967302,1.0,5.147138964577657,3.8828337874659398,1.0,1.1730245231607628,36690.3,1.0,1.7302452316076293
f15,2,41.6934705693149,36690.3,2.4593116757799938,1.5422965583789001,2.4200707623029913,2.265197812801544,2.33097458990029,4.135734963010615,1.0,36690.3,1.1222257960759086,4.963975554840785
f15,3,36690.3,36690.3,1.4450230912842683,2.194752874127935,3.8529281713668073,3.530509973469588,4.466443942222659,7.517113753234417,1.0,36690.3,4.9629065539943005,8.84666404637909
