scalelog_tail1_cap1.0_thr10.0_dual1_w10.0_tau0.3_pen15.0 -- res_tailpenalty_1_taillamcap_1.0_taillamthr_10.0_catlossweight_10.0_cattau_0.3_catpenalty_15.0_res_8_k_views_32
LIO
Mean
f6-f9,1.218,1.0486,1.2634,1.3178,1.212
f10-f14,1.0,1.4016000000000002,1.4709999999999996,1.6328,1.3763999999999998
f15-f19,10.7066,2.7380000000000004,4.300400000000001,2.2962,5.0104
f20-f24,5.6634,38.3048,1.3402,1.777,11.7714
all,4.2918,75.7276,4.2004,2.1258,21.5864
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.638
f6-f9,1.081,1.048,1.205,1.201,1.068
f10-f14,1.0,1.0,1.014,1.0,1.0
f15-f19,1.727,2.195,2.232,1.0,1.989
f20-f24,1.607,1.672,1.0,1.239,1.477
all,1.457,1.606,1.052,1.204,1.28
RANDOM
Mean
Problem Group,2,3,5,10,all
f1-f5,2.4162000000000003,400.0628,12.8398,3.4268,98.7628
f6-f9,1.2456,1.0754,1.211,1.2272,1.1894
f10-f14,1.026,1.27,1.4564,1.4866,1.3098
f15-f19,21.2592,2.6292,4.5534,2.1696,7.654000000000001
f20-f24,5.2144,34.3402,148.1006,1.8186,47.1432
all,6.365799999999999,89.70779999999999,36.3538,2.0972,32.7556
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.638
f6-f9,1.161,1.062,1.137,1.201,1.068
f10-f14,1.0,1.0,1.014,1.0,1.0
f15-f19,1.727,2.195,2.232,1.0,2.074
f20-f24,1.607,1.672,1.0,1.0,1.477
all,1.535,1.606,1.052,1.201,1.274
LPO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.3172,341.413,12.6912,4.739800000000001,90.2904
f6-f9,3.9375,918.536,735.31875,2386.38025,1011.04325
f10-f14,1.6114000000000002,1.5186,1.833,2.0942,1.764
f15-f19,14.9994,3.5208000000000004,5.1492,2.2092,6.4696
f20-f24,20.7382,55.82339999999999,295.1802,149.7522,130.3738
all,8.920041666666666,236.89679166666667,188.147625,430.8124166666667,216.19425
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,3.79,4.014,2.742
f6-f9,1.081,1.062,1.274,1.201,1.068
f10-f14,1.0,1.0,1.014,1.355,1.012
f15-f19,1.727,2.195,2.232,1.0,2.096
f20-f24,4.844,1.684,1.0,1.0,1.639
all,1.597,1.684,1.274,1.355,1.542

scalelog_tail1_cap1.0_thr10.0_dual1_w5.0_tau0.3_pen15.0 -- res_tailpenalty_1_taillamcap_1.0_taillamthr_10.0_catlossweight_5.0_cattau_0.3_catpenalty_15.0_res_8_k_views_32
LIO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.25,306.172,11.9766,3.3356000000000003,80.93339999999999
f6-f9,1.3203999999999998,1.0582,1.24,1.2492,1.217
f10-f14,1.3424,1.589,1.5198,1.6352,1.5218
f15-f19,11.252,2.6126,4.3944,2.0606,5.08
f20-f24,17.7892,40.8724,295.6748,5.7796,90.02899999999998
all,7.018800000000001,73.3528,65.53259999999999,2.8772,37.19520000000001
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.422
f6-f9,1.0,1.062,1.205,1.201,1.068
f10-f14,1.0,1.0,1.014,1.013,1.0
f15-f19,1.727,2.195,2.232,1.0,2.074
f20-f24,1.607,1.684,1.0,1.0,1.477
all,1.542,1.672,1.137,1.201,1.455
RANDOM
Mean
Problem Group,2,3,5,10,all
f1-f5,2.4444000000000004,387.0878,12.8462,3.6194,95.0918
f6-f9,1.2628,1.0908,1.22,1.248,1.2052
f10-f14,1.1206,1.2624,1.3501999999999998,1.449,1.2896
f15-f19,21.5234,2.587,4.3546,2.2408,7.7122
f20-f24,7.532599999999999,44.8226,1.4431999999999998,2.3532,13.7406
all,6.9476,88.9686,4.2798,2.2728,25.0664
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.638
f6-f9,1.161,1.062,1.137,1.201,1.068
f10-f14,1.0,1.0,1.008,1.0,1.0
f15-f19,1.727,2.195,2.232,1.0,2.074
f20-f24,1.607,1.672,1.0,1.0,1.477
all,1.535,1.606,1.052,1.201,1.274
LPO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.48,341.4312,12.474,4.7808,90.2914
f6-f9,10.202,4404.0745,2019.4875,2203.57375,2159.33475
f10-f14,1.8174,2.3452,3.3156,2.6904,2.5420000000000003
f15-f19,299.9498,296.224,4.4454,2.3142,150.73340000000002
f20-f24,37.186,54.282,1.715,13.109199999999998,26.573
all,72.83224999999999,878.6545833333333,341.15416666666664,372.032,416.16825
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,2.183,4.014,2.638
f6-f9,1.081,1.062,1.205,1.201,1.137
f10-f14,1.0,1.012,1.788,1.571,1.052
f15-f19,1.727,2.195,2.232,1.0,2.074
f20-f24,4.844,1.684,1.0,1.0,1.535
all,1.727,2.096,1.625,1.477,1.672

scalelog_tail1_cap1.0_thr10.0_dual1_w5.0_tau0.3_pen5.0 -- res_tailpenalty_1_taillamcap_1.0_taillamthr_10.0_catlossweight_5.0_cattau_0.3_catpenalty_5.0_res_8_k_views_32
LIO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.25,327.1982,11.9924,3.4292,86.2172
f6-f9,1.2422,1.041,1.2358,1.2054,1.1812
f10-f14,1.1366,1.3770000000000002,1.5152,1.5976,1.4068
f15-f19,15.7204,2.7932,4.589,2.283,6.3462
f20-f24,12.775,33.511399999999995,148.378,2.6348,49.3248
all,6.849200000000001,76.1904,34.888,2.2724,30.05
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.638
f6-f9,1.0,1.048,1.137,1.201,1.065
f10-f14,1.0,1.0,1.014,1.0,1.0
f15-f19,1.727,2.195,2.232,1.0,2.074
f20-f24,1.607,1.672,1.0,1.0,1.477
all,1.535,1.606,1.052,1.013,1.355
RANDOM
Mean
Problem Group,2,3,5,10,all
f1-f5,2.441,379.4232,17.334,3.376,94.6298
f6-f9,1.2722,1.0719999999999998,1.2384,1.2754,1.214
f10-f14,1.0234,1.1496,1.3079999999999998,1.5604,1.2576
f15-f19,21.3252,2.5292000000000003,4.294,2.092,7.6394
f20-f24,15.620399999999998,42.4654,148.0244,154.79899999999998,89.0994
all,8.425799999999999,86.75359999999999,37.0762,33.0618,40.39640000000001
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.638
f6-f9,1.161,1.062,1.137,1.201,1.068
f10-f14,1.0,1.0,1.002,1.0,1.0
f15-f19,1.727,2.195,2.232,1.0,1.989
f20-f24,1.607,1.672,1.0,1.0,1.477
all,1.535,1.606,1.052,1.201,1.274
LPO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.2802,348.2806,12.1398,4.2676,91.7422
f6-f9,3.2885,735.4937500000001,1.79975,552.8715,323.36325000000005
f10-f14,1.6948,1.6478000000000002,1.8756,2.5112,1.9322
f15-f19,9.6008,2.7314000000000003,4.4058,2.1516,4.7222
f20-f24,39.6612,54.08579999999999,294.8948,151.14,134.9454
all,11.639125000000002,207.32095833333332,65.57412499999998,125.49325,102.50679166666669
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,4.014,2.638
f6-f9,1.161,1.062,1.205,1.201,1.137
f10-f14,1.0,1.0,1.052,1.28,1.012
f15-f19,1.727,2.195,2.232,1.0,1.989
f20-f24,4.844,1.684,1.0,1.0,1.607
all,1.607,1.684,1.274,1.28,1.55

scalelog_tail1_cap1.0_thr15.0_dual1_w10.0_tau0.3_pen10.0 -- res_tailpenalty_1_taillamcap_1.0_taillamthr_15.0_catlossweight_10.0_cattau_0.3_catpenalty_10.0_res_8_k_views_32
LIO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.25,355.233,11.976400000000002,2.9576,93.1044
f6-f9,1.1969999999999998,1.041,1.272,1.3122,1.2056
f10-f14,1.2358,1.5492,1.7803999999999998,2.1108,1.669
f15-f19,2.3624,2.6222000000000003,4.116000000000001,2.0068,2.7768
f20-f24,6.174000000000001,31.6174,1.3036,1.9628,10.2644
all,2.704,81.63640000000001,4.2072,2.1016,22.6622
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.422
f6-f9,1.0,1.048,1.274,1.201,1.068
f10-f14,1.0,1.0,1.014,1.28,1.0
f15-f19,1.727,2.195,2.232,1.0,1.989
f20-f24,1.607,1.672,1.0,1.477,1.535
all,1.535,1.672,1.137,1.28,1.457
RANDOM
Mean
Problem Group,2,3,5,10,all
f1-f5,2.4162000000000003,400.0628,12.831,3.069,98.6574
f6-f9,1.2760000000000002,1.0404,1.246,1.409,1.2472
f10-f14,1.258,1.4172,1.4578000000000002,1.84,1.4864000000000002
f15-f19,8.6206,2.7726,4.3592,2.0082,4.5072
f20-f24,18.5952,46.2704,2.3158,155.8284,54.6058
all,6.5128,92.1434,4.4982,33.2936,33.525600000000004
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.638
f6-f9,1.161,1.062,1.137,1.201,1.068
f10-f14,1.0,1.0,1.014,1.28,1.0
f15-f19,1.727,2.195,2.232,1.0,2.074
f20-f24,1.607,1.678,1.0,1.0,1.535
all,1.535,1.672,1.137,1.28,1.457
LPO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.4604,341.2384,12.0178,3.9194,89.90899999999999
f6-f9,1.518,1.5212500000000002,1.52,1.31975,1.47
f10-f14,2.091,2.216,2.6022,2.6964,2.4014
f15-f19,890.5559999999999,150.67720000000003,4.6706,1.9958,261.975
f20-f24,26.2644,54.6418,2.8392,16.0422,24.946800000000003
all,192.20545833333333,114.58133333333336,4.863708333333333,5.356166666666666,79.25170833333333
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.638
f6-f9,1.081,1.062,1.205,1.201,1.068
f10-f14,1.0,1.012,1.052,1.788,1.052
f15-f19,1.727,2.195,2.232,1.0,2.074
f20-f24,7.039,1.672,1.0,1.0,1.607
all,1.727,1.989,1.412,1.477,1.606

scalelog_tail1_cap1.0_thr15.0_dual1_w10.0_tau0.3_pen15.0 -- res_tailpenalty_1_taillamcap_1.0_taillamthr_15.0_catlossweight_10.0_cattau_0.3_catpenalty_15.0_res_8_k_views_32
LIO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.25,334.2068,11.978,3.117,87.88820000000001
f6-f9,1.2046,1.0738,1.245,1.4934,1.2544
f10-f14,1.0692,1.2328,1.5068,1.935,1.436
f15-f19,1.8584000000000005,2.7346000000000004,4.3218000000000005,2.12,2.7588
f20-f24,4.6976,30.512,441.5494,1.7600000000000002,119.6298
all,2.2582,76.98880000000001,95.9066,2.1096,44.3158
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.422
f6-f9,1.0,1.062,1.205,1.201,1.068
f10-f14,1.0,1.0,1.002,1.28,1.0
f15-f19,1.727,2.195,2.232,1.0,1.989
f20-f24,1.607,1.672,1.0,1.477,1.477
all,1.457,1.606,1.137,1.355,1.355
RANDOM
Mean
Problem Group,2,3,5,10,all
f1-f5,2.4162000000000003,391.7192,12.8258,3.1738,96.94899999999998
f6-f9,1.2486000000000002,1.0606,1.2290000000000003,1.3934000000000002,1.2246
f10-f14,1.3534000000000002,1.5362,1.7073999999999998,1.832,1.6014
f15-f19,8.3898,2.935,4.377000000000001,2.0414,4.5266
f20-f24,16.5048,47.9806,2.0028,3.7664,17.5168
all,6.3956,91.2202,4.475,2.5614,25.6822
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.638
f6-f9,1.161,1.062,1.137,1.201,1.068
f10-f14,1.0,1.0,1.014,1.013,1.0
f15-f19,1.727,2.195,2.232,1.0,1.989
f20-f24,1.607,1.672,1.0,1.0,1.535
all,1.542,1.672,1.137,1.28,1.457
LPO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.3904,355.749,12.2202,4.5286,93.7222
f6-f9,16.412000000000003,5871.67575,3488.0825,2387.2655,2940.859
f10-f14,1.9936,2.1728,2.4796,2.5138,2.2898
f15-f19,3.1276,4.497,5.4964,2.4812000000000003,3.9006
f20-f24,183.3124,53.404,1.4342,10.7366,62.222
all,42.49033333333333,1065.242375,585.8534166666667,402.0984583333333,523.9212083333333
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,2.183,4.014,2.638
f6-f9,1.597,1.062,1.55,1.504,1.504
f10-f14,1.0,1.012,1.788,1.788,1.014
f15-f19,1.727,2.195,2.379,1.0,1.989
f20-f24,2.703,1.672,1.0,1.0,1.477
all,1.727,1.989,1.625,1.504,1.672

scalelog_tail1_cap1.0_thr15.0_dual1_w10.0_tau0.3_pen5.0 -- res_tailpenalty_1_taillamcap_1.0_taillamthr_15.0_catlossweight_10.0_cattau_0.3_catpenalty_5.0_res_8_k_views_32
LIO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.2534,355.233,11.9768,2.9578,93.1052
f6-f9,1.19,1.0582,1.2656,1.3323999999999998,1.2116
f10-f14,1.0694,1.2422,1.4979999999999998,2.1088,1.4794
f15-f19,2.895,2.7114000000000003,4.2782,2.0564,2.985
f20-f24,4.9986,32.56,1.2874,1.8214,10.167
all,2.535,81.7904,4.1778,2.0856,22.6472
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.422
f6-f9,1.081,1.062,1.274,1.201,1.068
f10-f14,1.0,1.0,1.014,1.28,1.0
f15-f19,1.727,2.195,2.232,1.0,1.989
f20-f24,1.607,1.672,1.0,1.477,1.535
all,1.535,1.606,1.137,1.355,1.455
RANDOM
Mean
Problem Group,2,3,5,10,all
f1-f5,2.4934000000000003,386.1378,12.868199999999998,3.3182,95.0798
f6-f9,1.231,1.0404,1.2290000000000003,1.232,1.1828
f10-f14,1.1218,1.2898,1.5055999999999998,1.837,1.4362
f15-f19,8.4468,2.8936,4.3314,2.0038,4.506600000000001
f20-f24,16.855600000000003,53.5726,1.5154,2.0868,18.3424
all,6.3064,90.915,4.3208,2.146,25.4062
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.638
f6-f9,1.161,1.062,1.137,1.201,1.068
f10-f14,1.0,1.0,1.014,1.013,1.0
f15-f19,1.727,2.195,2.232,1.0,1.989
f20-f24,2.703,1.684,1.0,1.0,1.535
all,1.535,1.672,1.137,1.28,1.455
LPO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.4052,327.7106,12.3328,4.768800000000001,86.8044
f6-f9,7.463750000000001,2203.101,2569.91125,1652.89675,1608.34325
f10-f14,2.2136,2.2314,2.2538,2.2418,2.2348
f15-f19,14.1198,3.5658000000000003,5.0466,1029.3454,263.0194
f20-f24,29.6236,53.0206,2.0524,296.84340000000003,95.3848
all,11.319416666666667,447.71025,432.836375,553.2326666666667,361.2745833333333
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,2.183,4.014,2.638
f6-f9,1.161,1.062,1.274,1.504,1.201
f10-f14,1.0,1.012,1.052,1.28,1.014
f15-f19,1.727,2.096,2.379,1.0,1.989
f20-f24,7.039,1.672,1.0,1.0,1.672
all,1.867,1.925,1.625,1.504,1.684

scalelog_tail1_cap1.0_thr15.0_dual1_w15.0_tau0.3_pen10.0 -- res_tailpenalty_1_taillamcap_1.0_taillamthr_15.0_catlossweight_15.0_cattau_0.3_catpenalty_10.0_res_8_k_views_32
LIO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.25,355.233,11.981800000000002,2.8546,93.0796
f6-f9,1.2884,1.0739999999999998,1.2506,1.4172,1.2576
f10-f14,1.0828,1.408,1.6994,2.1304000000000003,1.5802
f15-f19,1.9234,2.669,4.2398,2.017,2.7124
f20-f24,6.0358,32.8344,1.28,1.8522,10.5006
all,2.5674,81.8758,4.208600000000001,2.0808,22.683200000000003
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.411
f6-f9,1.0,1.062,1.274,1.201,1.068
f10-f14,1.0,1.0,1.014,1.28,1.0
f15-f19,1.727,2.195,2.232,1.0,1.989
f20-f24,1.607,1.672,1.0,1.477,1.477
all,1.496,1.606,1.137,1.477,1.457
RANDOM
Mean
Problem Group,2,3,5,10,all
f1-f5,2.441,400.0628,12.8256,3.1354,98.6826
f6-f9,1.2338,1.0404,1.2432000000000003,1.2736,1.1976
f10-f14,1.0704,1.395,1.5257999999999998,2.0178,1.4944
f15-f19,2.2152000000000003,2.7950000000000004,4.4414,2.1072,2.844
f20-f24,6.6586,48.9742,1.538,1.5744,14.476400000000002
all,2.7448,92.9076,4.3544,2.0696,24.9902
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.638
f6-f9,1.161,1.062,1.137,1.201,1.068
f10-f14,1.0,1.0,1.014,1.28,1.0
f15-f19,1.727,2.195,2.232,1.0,1.989
f20-f24,1.607,1.672,1.0,1.0,1.477
all,1.535,1.606,1.052,1.28,1.355
LPO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.4136,348.2694,12.304,4.4366,91.8558
f6-f9,1.6805,1.89025,1.72975,1.99825,1.825
f10-f14,2.378,2.3808,2.5264,2.3468,2.408
f15-f19,24.1714,3.3288,4.997,1.9614,8.614799999999999
f20-f24,39.428,51.5512,1.8354,3.4794,24.0736
all,14.528208333333332,84.80050000000001,4.801374999999999,2.87975,26.752541666666666
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,4.014,2.638
f6-f9,1.161,1.065,1.205,1.201,1.137
f10-f14,1.0,1.012,1.788,1.355,1.355
f15-f19,3.26,2.195,2.232,1.0,2.096
f20-f24,5.656,2.184,1.0,1.0,1.672
all,2.703,2.184,1.55,1.477,1.672

scalelog_tail1_cap1.0_thr15.0_dual1_w15.0_tau0.3_pen15.0 -- res_tailpenalty_1_taillamcap_1.0_taillamthr_15.0_catlossweight_15.0_cattau_0.3_catpenalty_15.0_res_8_k_views_32
LIO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.2568,355.2404,11.9856,2.9108,93.0984
f6-f9,1.2634,1.0724,1.2506,1.5006,1.2718
f10-f14,1.3434,1.4384,1.8006,2.333,1.7288
f15-f19,1.8608,2.7242,4.2902000000000005,1.9088,2.696
f20-f24,3.9264,39.3758,1.3462,1.907,11.639
all,2.1666,83.258,4.255000000000001,2.1376,22.9542
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.411
f6-f9,1.0,1.048,1.274,1.201,1.068
f10-f14,1.0,1.0,1.014,1.317,1.0
f15-f19,1.727,2.195,2.232,1.0,1.989
f20-f24,1.607,1.672,1.0,1.477,1.535
all,1.535,1.672,1.137,1.477,1.477
RANDOM
Mean
Problem Group,2,3,5,10,all
f1-f5,2.4162000000000003,400.0662,12.8608,3.2376,98.7106
f6-f9,1.2715999999999998,1.0562,1.2404,1.5289999999999997,1.2686000000000002
f10-f14,1.2184,1.4102,1.596,1.7492,1.4878
f15-f19,1.7576,2.7276,4.448600000000001,1.9576,2.6958
f20-f24,5.242,48.1146,1.4354,1.9066000000000003,13.9892
all,2.3814,92.728,4.3638,2.1116,24.867
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.638
f6-f9,1.161,1.062,1.137,1.201,1.068
f10-f14,1.0,1.0,1.014,1.013,1.0
f15-f19,1.727,2.195,2.232,1.0,1.989
f20-f24,1.607,1.672,1.0,1.477,1.535
all,1.535,1.672,1.137,1.355,1.457
LPO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.2498,334.2072,12.1722,3.892,88.1302
f6-f9,2.2925,551.889,1.938,3.3405,139.86499999999998
f10-f14,1.9954,2.2314,2.1964,2.7406,2.291
f15-f19,11.5938,2.6956,4.5112,1.7100000000000002,5.1276
f20-f24,21.6816,51.9932,1.5476,1.4292,19.1632
all,8.198875000000001,173.466375,4.578708333333334,2.592541666666667,47.209166666666654
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,3.727,2.638
f6-f9,1.161,1.062,1.274,1.821,1.161
f10-f14,1.0,1.012,1.052,1.788,1.052
f15-f19,1.727,2.195,2.379,1.0,2.074
f20-f24,2.703,1.684,1.0,1.0,1.535
all,1.607,1.989,1.274,1.513,1.625

scalelog_tail1_cap1.0_thr15.0_dual1_w15.0_tau0.3_pen5.0 -- res_tailpenalty_1_taillamcap_1.0_taillamthr_15.0_catlossweight_15.0_cattau_0.3_catpenalty_5.0_res_8_k_views_32
LIO
Mean
Problem Group,2,3,5,10,all
f1-f5,2.2744,348.22439999999995,11.9776,2.8966000000000003,91.3432
f6-f9,1.3212,1.1082,1.2464,1.4318000000000002,1.277
f10-f14,1.1238,1.4538000000000002,1.8216,2.2158,1.6538
f15-f19,2.3554,2.9388,4.3118,2.0338,2.9102
f20-f24,4.3156,38.3356,1.2658,1.8246,11.4354
all,2.318,81.6332,4.2446,2.1074,22.5758
Median
Problem Group,2,3,5,10,all
f1-f5,1.951,2.638,1.639,2.938,2.335
f6-f9,1.081,1.062,1.274,1.201,1.068
f10-f14,1.0,1.0,1.014,1.28,1.0
f15-f19,1.727,2.195,2.232,1.0,1.989
f20-f24,1.607,1.672,1.0,1.477,1.477
all,1.535,1.606,1.137,1.477,1.457
RANDOM
Mean
Problem Group,2,3,5,10,all
f1-f5,2.4658,385.5712,12.825400000000002,3.0288000000000004,95.262
f6-f9,1.2475999999999998,1.0554,1.2231999999999998,1.4166,1.236
f10-f14,1.1116,1.483,1.6892,2.0488,1.5718
